     epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.014358,            0.037577,                   0,             0.93795,             0.86691,             0.94725,             0.77438,            0.011691,            0.025913,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.014926,            0.038829,                   0,             0.90386,             0.89834,             0.95467,             0.74301,             0.01257,            0.024638,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.014456,            0.039154,                   0,              0.9308,             0.89464,             0.95078,             0.76593,            0.011541,             0.02529,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.014579,            0.039192,                   0,             0.94318,             0.88979,              0.9498,             0.76296,            0.012061,            0.025359,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.01401,            0.038739,                   0,             0.93881,             0.87914,             0.94685,             0.76842,            0.011515,            0.025494,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.014462,             0.03809,                   0,              0.9089,              0.9036,             0.94946,             0.77856,            0.011361,             0.02523,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.013607,            0.042294,                   0,             0.93974,              0.8936,             0.95271,             0.77947,            0.011494,            0.024725,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014971,            0.039295,                   0,             0.95242,             0.87431,             0.95518,             0.76846,            0.011773,            0.024615,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.014136,            0.038797,                   0,             0.92678,             0.88355,             0.94915,             0.77382,            0.011406,            0.025195,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.014496,            0.038966,                   0,             0.93841,             0.87304,             0.94463,             0.76664,            0.011812,            0.025485,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.014191,            0.037869,                   0,             0.94866,             0.85392,             0.94822,             0.76973,             0.01177,            0.025768,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.014222,            0.040825,                   0,             0.92098,              0.8833,             0.94562,             0.76953,            0.011244,            0.024908,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014694,             0.04238,                   0,             0.92848,             0.88793,             0.94923,             0.77094,            0.011518,             0.02508,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013951,            0.037966,                   0,             0.91782,             0.90833,             0.95483,             0.78039,             0.01139,            0.025267,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013674,            0.039309,                   0,             0.94084,              0.8854,             0.95037,             0.78481,            0.011047,            0.024301,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013632,            0.036978,                   0,             0.92625,             0.88909,             0.94742,             0.78398,             0.01104,            0.025204,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.01331,            0.037083,                   0,             0.93958,             0.87246,             0.94917,             0.77563,            0.011303,            0.025259,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.014414,            0.041088,                   0,             0.92004,             0.87616,             0.94448,             0.77317,            0.010939,            0.024273,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.013665,            0.037424,                   0,             0.93492,             0.87623,             0.95189,             0.77997,            0.011121,            0.024674,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013356,            0.041216,                   0,             0.93269,             0.89645,             0.95067,             0.77119,            0.011292,            0.025284,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.013518,            0.040135,                   0,             0.91889,             0.88909,             0.94906,             0.78319,            0.010699,            0.024569,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.013344,            0.037763,                   0,             0.94129,             0.88725,             0.94976,             0.78035,            0.010865,            0.025029,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013714,            0.036902,                   0,             0.93872,              0.8778,             0.94908,             0.78963,            0.010989,            0.026721,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01327,            0.038059,                   0,             0.95494,              0.8854,             0.95499,             0.78491,            0.010945,            0.025833,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.013565,            0.040458,                   0,             0.92721,             0.89649,             0.95331,             0.78081,            0.010978,            0.024223,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.012678,            0.040221,                   0,             0.91103,             0.92237,             0.95736,             0.78622,            0.010915,            0.023906,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.013165,            0.039161,                   0,             0.94478,             0.88725,             0.95652,             0.78991,            0.010745,            0.023812,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.012965,            0.036529,                   0,             0.94135,             0.87985,             0.95505,             0.78379,            0.010787,            0.024851,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.013456,            0.037725,                   0,             0.94784,               0.878,             0.95091,             0.78534,            0.011089,            0.025552,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.012745,            0.035871,                   0,             0.92174,             0.89649,             0.95046,             0.78595,            0.010291,            0.024096,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.013342,            0.038445,                   0,             0.92163,             0.89124,             0.95314,             0.78624,             0.01089,            0.024235,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013183,            0.040216,                   0,             0.92936,             0.89974,             0.95066,             0.78795,            0.010721,            0.023821,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013692,            0.040785,                   0,             0.90814,             0.89544,              0.9526,             0.78199,             0.01075,            0.024726,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.013633,            0.039188,                   0,             0.91347,             0.88725,             0.95346,             0.77939,            0.011066,            0.023464,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.012909,            0.037728,                   0,             0.93189,             0.88355,             0.95637,              0.7907,            0.010786,            0.024477,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.012823,            0.036315,                   0,             0.89619,             0.92052,             0.95444,             0.78661,            0.010694,            0.024082,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.013343,            0.039425,                   0,             0.91469,             0.89188,             0.95212,             0.78302,            0.010735,            0.024926,                   0,            0.004489,            0.004489,            0.004489
                 169,             0.01326,            0.035887,                   0,             0.92707,              0.8854,             0.94997,             0.76922,            0.011612,            0.025165,                   0,            0.004456,            0.004456,            0.004456
                 170,             0.01362,            0.039393,                   0,             0.94924,              0.8642,             0.94947,             0.78235,            0.010546,            0.025138,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.012365,            0.037799,                   0,             0.93414,              0.8854,              0.9497,             0.77819,            0.010831,            0.025192,                   0,             0.00439,             0.00439,             0.00439
                 172,              0.0129,            0.037495,                   0,             0.91753,             0.88434,             0.95857,             0.79307,            0.010283,             0.02454,                   0,            0.004357,            0.004357,            0.004357
